"N1"
5
10
10
14
9
7
11
1
9
1
1
6
3
9
5
5
5
7
4
10
2
1
2
22
3
3
10
15
8
11
5
15
1
10
7
6
5
5
1
5
1
8
8
2
1
6
5
2
3
4
19
17
9
11
5
7
6
13
1
10
10
5
9
8
7
2
16
6
5
4
7
4
11
4
10
1
13
4
9
15
10
2
8
13
13
9
12
21
6
7
9
12
7
11
19
3
7
11
9
8
6
8
1
13
2
9
10
3
3
3
2
7
14
5
1
1
24
14
1
12
5
2
18
12
2
5
16
2
2
16
6
2
2
13
9
8
7
5
15
1
7
1
2
4
2
2
2
10
4
8
17
19
9
6
14
24
7
7
10
4
6
5
1
25
11
18
11
7
2
8
2
10
1
6
11
23
5
1
3
7
14
30
8
3
5
10
21
1
4
12
20
9
4
7
3
7
2
1
8
1
9
10
14
7
2
6
4
7
9
11
3
1
9
1
23
6
8
24
7
4
16
8
7
9
7
10
4
14
2
3
9
13
6
7
11
3
5
28
3
7
3
11
2
9
3
1
1
6
7
6
1
10
1
1
13
7
8
8
16
19
1
27
12
14
10
2
1
5
1
15
3
20
3
11
7
1
11
7
22
12
3
4
18
4
4
7
7
5
12
11
6
1
14
7
2
2
7
7
7
3
6
10
17
9
8
3
6
16
4
3
3
6
1
2
1
2
5
17
11
4
3
10
5
16
9
5
9
5
15
3
2
9
2
9
2
11
5
8
2
2
6
1
3
2
2
4
3
3
2
2
1
2
2
2
6
2
11
10
1
3
9
12
11
4
2
3
12
2
13
2
9
7
4
2
7
3
16
5
1
12
17
11
4
4
10
3
11
2
5
6
11
2
15
1
4
2
6
4
6
6
10
5
5
8
7
6
25
5
21
1
5
9
9
9
1
2
3
1
5
1
4
4
7
9
8
1
16
22
3
4
2
1
1
11
2
23
9
8
24
3
14
6
9
3
2
8
2
1
3
3
7
1
23
4
2
12
1
3
13
10
9
1
3
2
1
12
1
9
8
6
4
9
2
17
5
1
5
15
1
11
24
1
6
18
16
9
3
19
5
3
12
7
3
10
7
18
13
10
1
1
2
9
1
7
4
1
4
3
26
1
2
8
7
10
18
5
13
9
11
2
6
2
1
6
3
2
5
18
7
1
23
11
15
1
9
1
10
12
5
2
17
3
2
4
5
4
4
18
10
2
4
1
1
2
1
1
9
10
6
2
10
1
2
7
9
1
10
12
2
8
10
3
8
3
27
14
4
3
4
5
8
2
12
5
3
1
3
7
5
1
1
5
1
6
5
3
5
9
3
12
5
7
1
5
11
2
10
8
3
10
3
6
7
6
5
10
20
5
21
6
2
9
5
5
16
3
5
6
7
3
11
1
6
4
7
9
6
5
11
9
8
6
11
9
11
3
7
9
4
2
7
9
16
4
5
6
2
1
1
21
1
6
2
12
2
16
9
13
5
6
4
11
2
7
19
4
17
10
3
7
11
4
14
12
4
21
20
23
2
1
16
5
1
1
7
3
3
4
1
10
2
4
1
16
14
4
12
6
10
5
1
5
16
13
18
3
8
1
3
6
7
14
14
10
10
6
4
3
2
6
4
1
14
8
6
10
6
5
2
6
35
10
6
7
9
12
23
6
1
4
6
4
2
12
5
4
6
1
2
12
1
6
1
5
7
10
18
18
5
9
16
5
1
1
1
1
7
6
15
5
3
2
4
8
10
8
4
9
10
13
16
24
1
3
2
7
12
4
2
5
18
2
9
6
5
2
7
16
5
12
8
13
4
13
7
3
6
15
1
11
1
8
7
7
8
8
13
20
1
7
16
5
8
7
3
1
1
1
22
1
11
5
6
2
4
3
3
2
1
8
8
1
3
2
15
5
5
9
15
1
10
5
9
7
1
4
6
3
8
10
16
14
7
1
3
2
1
2
9
7
4
3
2
3
4
2
4
1
7
11
13
4
4
1
8
11
6
3
1
5
3
3
5
11
1
5
1
17
9
2
5
4
1
3
4
5
3
8
4
7
1
1
21
2
6
22
2
4
2
9
18
3
12
6
1
5
5
4
7
6
4
8
3
9
4
10
12
8
6
7
1
14
5
22
2
3
21
2
10
11
6
13
4
5
24
1
7
2
4
7
3
2
1
10
4
15
4
3
8
1
5
2
11
9
6
3
28
1
11
2
9
5
4
1
7
8
12
16
2
7
1
12
16
5
6
2
6
4
2
2
3
24
1
1
4
4
4
1
9
18
5
1
3
6
1
12
3
5
5
4
17
6
9
11
7
1
11
19
20
1
9
1
1
4
12
21
2
13
15
2
8
1
22
13
13
11
3
3
2
2
1
3
2
11
2
7
1
1
4
10
1
6
4
8
10
2
2
6
20
6
9
26
11
5
5
4
9
21
5
2
6
18
8
3
2
1
9
1
4
21
5
1
4
3
8
11
16
1
10
3
9
10
1
4
4
8
7
14
1
2
20
11
11
3
2
31
19
1
6
1
5
3
5
7
19
2
1
15
16
1
4
4
12
14
9
4
7
5
9
7
8
2
5
5
2
2
5
7
8
2
14
4
2
2
2
7
5
6
4
12
12
9
8
3
5
6
6
2
8
18
6
1
1
6
3
17
2
2
10
3
5
12
10
16
7
9
7
5
14
22
9
4
1
2
4
1
3
8
7
5
5
4
5
7
3
6
3
1
17
13
3
6
9
12
4
15
3
12
15
4
3
1
8
4
1
4
4
10
1
17
13
9
5
1
9
1
5
1
6
1
11
2
10
16
9
13
3
7
1
4
8
2
4
2
6
4
4
8
18
10
2
1
6
3
8
1
6
2
12
1
1
1
2
11
1
9
2
5
10
4
4
12
13
15
11
5
7
1
2
7
22
3
1
12
4
14
9
2
4
4
10
5
9
10
1
16
11
11
3
6
7
15
11
6
11
2
9
5
4
11
5
5
13
11
6
9
9
2
4
1
14
15
11
5
6
10
8
6
4
9
1
4
2
2
11
4
2
1
17
1
5
8
1
1
2
4
10
7
3
10
7
3
4
3
1
2
1
5
3
3
9
1
26
5
1
8
7
2
5
9
3
3
15
10
16
1
10
3
22
14
6
11
3
7
10
4
5
1
1
12
8
25
1
3
3
10
7
4
4
11
2
3
2
10
11
20
13
3
4
2
3
6
5
1
1
7
11
5
2
4
4
13
16
5
1
3
1
2
9
8
4
9
10
4
8
7
2
10
2
9
6
3
10
6
2
1
4
2
2
8
9
7
10
9
18
2
9
8
2
10
5
2
5
7
1
13
3
7
7
9
20
6
4
4
16
6
15
2
1
1
2
12
1
15
1
5
9
4
4
11
8
26
1
15
1
1
15
9
3
18
7
2
9
2
8
13
10
7
1
15
2
6
18
8
4
9
12
4
1
5
17
14
2
3
3
2
3
2
1
2
8
16
2
5
3
4
11
3
5
11
12
1
10
7
4
8
9
13
3
6
3
1
6
10
12
4
2
2
10
2
11
8
11
4
9
7
14
4
4
1
1
5
12
1
2
7
4
11
12
3
1
15
1
9
10
15
1
3
9
9
11
23
17
16
1
7
6
1
14
7
3
14
3
6
20
1
8
6
5
4
13
3
1
10
9
13
1
3
9
24
3
21
1
7
8
1
6
17
3
22
13
3
33
1
14
4
1
8
24
4
1
1
5
9
6
1
2
8
4
4
13
18
3
1
12
3
3
9
3
2
1
1
5
1
10
6
1
4
12
4
4
7
1
6
9
4
3
9
9
3
8
4
5
4
2
11
26
20
7
19
2
15
3
2
8
5
11
3
6
2
4
7
2
2
1
11
22
7
2
22
4
10
11
4
6
6
12
20
1
1
9
2
1
2
10
2
11
9
9
9
10
9
2
3
4
2
3
10
4
1
3
3
3
2
18
2
15
14
10
4
1
3
2
1
1
1
4
1
11
12
3
5
5
1
7
4
23
2
10
4
25
11
15
26
11
7
3
4
6
3
12
3
6
10
4
5
12
2
26
1
4
12
6
11
1
16
3
9
16
4
7
3
21
7
2
8
2
6
2
7
1
1
17
3
1
12
1
6
2
1
12
14
1
10
8
3
8
10
16
1
14
5
8
17
4
6
5
11
13
5
2
7
2
14
15
17
10
6
13
2
6
1
14
4
1
12
7
2
2
6
2
4
9
21
10
6
30
1
12
3
3
12
1
6
7
11
3
2
3
5
21
21
16
5
7
2
9
11
18
9
7
10
10
13
4
12
3
1
8
12
4
9
9
2
7
16
13
4
10
4
12
4
14
5
22
10
22
1
2
7
4
2
3
9
9
5
12
15
1
1
5
3
1
2
4
6
9
8
2
8
4
1
17
2
7
1
18
20
4
4
7
5
6
4
10
13
12
13
9
17
10
15
8
4
